Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Pool Deck,Stove,Rooftop Pool,City View,Fridge,Dryer,Oven,Dining Room Furniture,Pond,Outdoor Dining,Security,Balcony,Multi-purpose Hall,Bomb Shelter,Aircon,Closet,Hammocks,TV,Sofa,Greenery View,Open Terrace,Bed,Lounge,Swimming Pool,Spa Pool,Playground,High Floor,Washer,Sky Terrace,Gym,BBQ",678 sqft (built up),"Alex residences
District 3
Brand new/ Just TOP
2 Bedroom for rent
Exclusive listing!
High floor 
Unblocked 
No west sun !!! 
Good layout 

Redhill mrt is few minutes walk away 
3 mrt stops away from Raffles place 
4 mrt stops away from Raffles City 
Alexandra IKEA and Anchor point are 5 min drive away 
Tiong bahru Plaza is also 10 min drive away max 
Valley point is also another 10 min drive away 

Multiple units! Key on hand!
Call 81681230 Sher for viewing now",D03,,,,Fully Furnished,Yes,Flexible,Alex Residences,2 Baths,2 Beds,,S$5.31 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/alex-residences-condo-hDxLWqXp7XCRgwTdjNC7Qe
"High Ceiling,Pool View,Stove,Parking,City View,Fridge,Walk In Closet,Jacuzzi,Oven,High Floor,Security,Closet,Bomb Shelter,Bathtub,Balcony,Renovated,Aircon,Greenery View,Wading Pool,Swimming Pool,Utility Room,Fitness Corner,Dining Room Furniture,Washer,Fibre Ready,BBQ","1,572 sqft (built up)","Freehold Condominium at Bukit Timah Road D21. 5 mins walk to King Albert Park MRT (Downtown Line) and Sixth Avenue. Clementi MRT and Buona Vista MRT are also nearby. Short drive to Bukit Timah Plaza, Beauty World Plaza and Shopping Centre. Within 1km to Methodist Girls' School (MGS), Swiss School Singapore (SSS), Pei Hwa Presbyterian Primary School. Other schools: Ngee Ann Polytechnic (NP), Singapore Institute of Management (SIM), Singapore Polytechnic (SP), National University of Singapore (NUS), National University Hospital (NUH) towards Clementi, and Nanyang Girls', Hwa Chung, National Junior College, Anglo-Chinese School, etc. are just within 10 mins' drive. International schools in the vicinity too!
Accessible via Dunearn Road, Bukit Timah Road, Bukit Timah Expressway (BKE) and Pan-Island Expressway (BKE). Clementi Road, Holland Road, Sixth Avenue can also link you here.
Bukit Timah Nature Reserve and restaurants are aplenty. Bukit Timah Food Centre serves famous local delicacies.
Turf City and Swiss View are great places for families and friends to gather over food & drinks. Or you can choose to ride over to Botanic Gardens.
Cold Storage, Giant, NTUC Finest.
Vivian City, Harbourfront, Sentosa, West Coast Parkway ,Maple Tree Business City, Science Park.
",,All races welcome,,,Partially Furnished,Yes,24 months,The Nexus,4 Baths,4 Beds,,S$3.18 psf,"S$5,000/mo",https://www.99.co/singapore/rent/property/the-nexus-condo-De7E2PJeZPqzxcL36LrpSN
"City View,Fibre Ready,Aircon,Closet,Greenery View,Fridge,Low Floor,Security,Parking,Washer,Pool View,Stove","1,668 sqft (built up)","Amber Glades is a mid-sized development consisting of two 10-storey blocks. There is complimentary use of swimming pool and gymnasium at Village Hotel Katong, a stone’s throw away for all tenants residing at Amber Glades. This unit can be used as a Home Office.

Ideally situated between the famed Katong/Joo Chiat area and Marine Parade, the freehold condo is within minutes of Katong V, Village Hotel Katong, Parkway Parade, I12 Katong, Katong Shopping Centre and Katong Mall. East Coast Park is just a 4-minute drive away, with easy access to the ECP leading to the City.

It is minutes’ walk to international schools such as the Canadian International School and Chatsworth International School (East).

Within the area are also prestigious local schools such as Tanjong Katong Primary School, Tanjong Katong Secondary School and Tanjong Katong Girls' School.

Home Office Use (subject to URA Terms & Conditions)
* A minimum of 6 months lease term applies.
** Gymnasium and Swimming pool operates from 10am to 4pm. Subject to hotel management. Terms and conditions apply.

Minutes’ drive/walk to Katong V, Parkway Parade, I12 Katong, Katong Shopping Centre and Katong Mall

4-minute drive to East Coast Park and easy access to ECP leading to the City

Near prestigious schools such as, Tanjong Katong Primary School and Tanjong Katong Secondary School

Minutes’ walk to renowned International Schools such as Canadian and Chatsworth (East Campus) International School
",D15,All races welcome,,03,Partially Furnished,,12 months,Amber Glades,3 Baths,4 Beds,Allowed,S$2.70 psf,"S$4,500/mo",https://www.99.co/singapore/rent/property/amber-glades-condo-jMMtroGcsksyuaLsSDySF9
"Renovated,Aircon,Gym,Fridge,Swimming Pool,Wading Pool,Jacuzzi,Tennis Court,Parking,Washer,Security","1,292 sqft (built up)","Pls ☎️ call/sms/whatsapps Terence Tan @98631160 to arrange for viewing 

Nicely and tastefully renovated 
3 bedrooms 
3 baths 
Partially furnished 
Available immediately 
Call me for an exclusive viewing",D25,,,,Partially Furnished,,12 months,Woodsvale,3 Baths,2 Beds,,S$2.17 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/woodsvale-condo-p22S2hffEdQ7UxydT6SUwU
"Loft,Stove,Fridge,Sauna,Jacuzzi,Tennis Court,Oven,Parking,Fibre Ready,Security,Renovated,City View,Bathtub,Balcony,Closet,Aircon,Greenery View,Swimming Pool,Utility Room,Basketball Court,Playground,Fitness Corner,High Floor,Washer,Pool View,Gym,BBQ","1,625 sqft (built up)","Latest listing, New Release : Orchard Scotts!!!

5 minutes walk to Newton mrt station

Luxury condominium just beside Orchard shopping belt.
Level                Rooms  sqft  Rent  Date available 
#16 (Red block) 3+U 1,625 $9,000 12-Sep-18 Partial
#13 (Red block) 4+U  2,508 $12,000 1-Oct-18 Partial
#17 (Red block) 3+U  2,497 $12,800 1-Sep-18 Fully
#15 (Blue block) 3+G+U 2,088 $13,600 15-Sep-18 Fully


 Rent includes Air-con utility usage 


------------
1) Minutes walk to Newton MRT
2) Free bus shutter service to almost all
busniess district (International Business
park, Changi city, One north and Raffles)
3) Conceige service available


Pictures are for illustration only. Might not reflect the actual unit.


Thanks
Sam PK
Whatsapp : 91529962 
Rainesam@gmail.com
Porpnex - Powerful Negotiator
Associate Marketing Director",D09,All races welcome,,,Partially Furnished,,12 months,Orchard Scotts,3 Baths,3 Beds,Allowed,S$5.23 psf,"S$8,500/mo",https://www.99.co/singapore/rent/property/orchard-scotts-condo-iHfY46hHtSezG5eLmJtGfj
"Penthouse,Renovated,Aircon,Gym,Fridge,Swimming Pool,Playground,Parking,Security,Pool View,Lap Pool,BBQ,Balcony","1,593 sqft (built up)","-3 Bedrooms / 3 bathrooms
-Balcony with pool view
-Well maintained unit
-Renovated
-Partially furnished
-Full condo facilities
-Bright and clean environment
-Easily accessible
-Walking distance to supermarkets/hawkers

Please contact Wee Choong @ 92220606 to arrange viewing for this stunning deal.(:
",D15,,,,Partially Furnished,,Flexible,Spring @ Katong,3 Baths,3 Beds,,S$2.51 psf,"S$4,000/mo",https://www.99.co/singapore/rent/property/spring-katong-condo-ZDE8axFSYkiGqFgo2wYBRf
"Renovated,Gym,Fridge,Swimming Pool,Playground,Parking,Dining Room Furniture,Security,Pool View,BBQ,Tennis Court",S$2.50 psf,"nice
full condo faciĺties
expat choice
sms or call lina 82227820",D15,All races welcome,,,,Yes,Flexible,Laguna Park,"1,200 sqft (built up)",3 Beds,,,"S$3,000/mo",https://www.99.co/singapore/rent/property/laguna-park-condo-waqdVSppvUCao8aqHuzxmS
"Clubhouse,Stove,Fridge,Sauna,Dryer,Steam Room,Oven,Parking,Security,Balcony,Bomb Shelter,Closet,Aircon,TV,Sofa,Bed,Swimming Pool,Wading Pool,Jacuzzi,Playground,Fitness Corner,Dining Room Furniture,Washer,Lap Pool,Gym,BBQ","1,423 sqft (built up)","SMS or Whatsapp +65-91298282 StevenSee
We are specialist agents for full time and exchange students. 

** Pls what's app me for video link

** 5 mins walk to Dhoby Ghaut MRT interchange
** 7 mins walk to Plaza Singapura Shopping and Orchard Road
** walk to SMU, LaSalle, NAFA, Kaplan, TMC

** Private lift lobby
** 3 rooms, 3 toilets, Store room
** spacious, balcony, good furnishing
** well maintained
** Full facilities, pool, gym, Jacuzzi, bbq
** can be partial or furnished 

** not allow to sublet

Other units nearby
** 2 bedrooms - 1 master 1 single - $2600
** 2 bedrooms - 2 double rooms  - $3300
** 3 bedrooms - 3 double rooms - $4000up

Dear friends, we are specialist agents for full time and exchange students near your university. Many parents and students trust us, let us help you.

SMS or Whats App StevenSee at +65-91298282. 
Book your unit early.





** Kaplan, SMU, LaSalle, SOTA, NAFA, Raffles, Essec, NTU, SIM, JCU, NUS, TMC, MDIS, insead, JCU, James Cook, ERC

** Sophia, Wilkie, Bencoolen, Waterloo, Mackenzie, Burlington, Sunshine, Orchard, river valley, city square, Emily, Kerrisdale, cityscape, river valley, Sophia residence, bukit timah, dhoby ghaut, Kallang, sant rtiz, 8 riversuites, short term, medical, Mount Elizabeth, NUH, novena",D09,,,,Fully Furnished,,24 months,Sophia Residence,3 Baths,3 Beds,,S$4.08 psf,"S$5,800/mo",https://www.99.co/singapore/rent/property/sophia-residence-condo-DdZBxNdNrRVkeDPMUSHkvk
"Low Floor,Security,Aircon,Parking,Washer,Fridge","1,240 sqft (built up)","3 bedrooms  *  Partial Furnished  *  Available 01 Mar 2019
>> near Parkway Parade

For viewing appt, pls sms/whatsapp, Anthony Yeo * 9027 4400
**For more Sales / Rental Listings : https://goo.gl/Ml2tiK",D15,All races welcome,,,Partially Furnished,,Flexible,Amber Glades,2 Baths,3 Beds,,S$2.98 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/amber-glades-condo-eYpuEJxmRqo5a5wvJroUZT
"Function Room,Water Feature,Stove,Parking,Fridge,Jacuzzi,Dryer,Tennis Court,Oven,High Floor,Security,Balcony,Aircon,TV,Sofa,Wading Pool,Bed,Viewing Deck,Swimming Pool,Utility Room,Spa Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Lap Pool,Gym,BBQ,Hydrotherapy Pool","1,000 sqft (built up)","SMS or Whatsapp +65-91298282 StevenSee
We are specialist agents for full time and exchange students. 

** very high floor, fantastic view

** 8 mins walk to Boon Keng MRT
** 8 mins walk to shops and food 
** 3 subway station or 10 mins subway ride to dhoby Ghaut

** 3 rooms, 2 toilets
** almost new, nice condo
** pool, bbq, Gym, jacuzzi


Other units nearby
** 2 bedrooms - 1 master 1 single - $2500
** 2 bedrooms - 2 double rooms  - $3000
** 3 bedrooms - 3 double rooms - $4000up

Dear friends, we are specialist agents for full time and exchange students near your university. Many parents and students trust us, let us help you.

SMS or Whats App StevenSee at +65-91298282. 
Book your unit early.






** Kaplan, SMU, LaSalle, SOTA, NAFA, Raffles, Essec, NTU, SIM, JCU, NUS, TMC, MDIS, insead, JCU, James Cook, ERC

** Sophia, Wilkie, Bencoolen, Waterloo, Mackenzie, Burlington, Sunshine, Orchard, river valley, city square, Emily, Kerrisdale, cityscape, river valley, Sophia residence, bukit timah, dhoby ghaut, Kallang, NUH, National University Hospital, Mount Elizabeth, Indonesia, philippines, expats, medical short term",D12,All races welcome,,,Fully Furnished,,24 months,Eight Riversuites,2 Baths,3 Beds,Not Allowed,S$3.80 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/eight-riversuites-condo-LBoYPUydF5vRFvbrnxs5D6
