Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url
"Swimming Pool,Jacuzzi,Aircon,Oven,Mid Floor,Washer,Gym,Fridge,BBQ,Balcony",700 sqft (built up),"🏠 FOR RENT: 2 Bedroom @ Nine Residences 🏠

✨ Mid floor 2 Bedroom unit
✨ Partially furnished 700 sqft with 2 baths
✨ Regular layout that cater to no wasted space in the living and dining area
✨ Stylish open concept kitchen with top and bottom cabinet  for your cooking needs
✨ Built-in dining table for efficient usage of space
✨ Master bedroom that fit a King sized bed with a nicely renovated en suite bath.
✨ Spacious common room that fit a King sized bed with built-in wardrobe.


📍 Superb Location 📍

📌 Many primary schools (Chongfu School, Ahmad Ibrahim Primary School, Huamin Primary School, North View Primary School, Xishan Primary School, Yishun Primary School etc), secondary school (Yishun Town Secondary School, Northland Secondary School, North View Secondary School etc), GEMS World Academy within 1km 
📌 9 mins walk to Yishun MRT (NS13) station, Northpoint City & Yishun 10.
📌 Mins to Yishun Nature Park & Yishun Pond Park for your active lifestyle needs.
📌 Eateries and Sheng Shiong supermarket are right downstairs.


📞Call/SMS/Whatsapp Edmund at 97871978 for your viewing appointment today!",D27,,,,,,Flexible,Nine Residences,2 Baths,2 Beds,,S$3.43 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/nine-residences-condo-3W3YjqzxN6AA7miYpyuFDZ
"Clubhouse,Renovated,Aircon,TV,Gym,Fridge,Bed,Tennis Court,Washer,Lap Pool,BBQ,Balcony",624 sqft (built up),"- Walking distance to MRT
- Well Renovated
- Modern Resort Style
- 3 years old condo
- Fully Furnished
- Good layout and size

For viewing, please call Clarie Lee @ 91153945",D25,,,,,,Flexible,Woodhaven,1 Bath,1 Bed,,S$3.12 psf,"S$1,950/mo",https://www.99.co/singapore/rent/property/woodhaven-condo-rZJZqV9rYWQ7BxsW3HzAu
"Clubhouse,Renovated,Closet,Swimming Pool,TV,Sofa,Gym,Fridge,Bed,Sauna,Aircon,Wading Pool,Squash Court,Playground,Oven,Parking,Washer,Security,BBQ,Tennis Court","1,100 sqft (built up)","- Minutes walk to MRT
- Quiet facing
- Spacious 2 Bedrooms
- Fully furnished
- Bright and Breeze 
- Full Condo Facilities
- Empress Market, Supermarkets & Food Centers nearby
- Plenty of amenities around the neighborhood
- Eateries, supermarkets, sports facilities, transportation and schools. 

For viewing, please call Clarie Lee @ 91153945!",D10,,,,,,Flexible,Sommerville Park,2 Baths,2 Beds,,S$3.45 psf,"S$3,800/mo",https://www.99.co/singapore/rent/property/sommerville-park-condo-tZdghQyYxd37gP6HgEVuo7
"Renovated,Roof Terrace,Maid Room,Stove,Fridge,Aircon,Oven,Washer,Bathtub,Balcony",S$2.18 psf,"Beautiful Brand New Cluster House!

No Agent Fees

Minutes to Yio Chu Kang MRT, Greenwich Village and Ang Mo Kio Hub

Bright interior, generous space throughout

Cosy development with nice greeneries

Master bedroom comes with attached balcony

Nice open terrace 

Short drive to GEMS world academy, Australian International School, Lycee Francais de Singapore, Stamford American School

Pictures are for reference on layout only, may not be the actual unit

Tenants please call/ text 91122812 for an exclusive viewing

Other similar units in the same district, call to enquire. ",D28,,,,Partially Furnished,,Flexible,Alana,"3,122 sqft (built up)",4 Beds,,,"S$6,800/mo",https://www.99.co/singapore/rent/property/sunrise-terrace-landed-M3vMMr3u2uFmA3dthADddd
"Clubhouse,Stove,Parking,Fridge,Sauna,High Floor,Security,Renovated,Closet,Swimming Pool,TV,Sofa,Greenery View,Bed,Aircon,Wading Pool,Playground,Audio System,Dining Room Furniture,Washer,Pool View,Gym,BBQ",915 sqft (built up),"Le Hill Condo
2BR 915sqft

- Avail Immediate
- Just newly renovated, move in condition
- Spacious layout and unblock greenery view 
- High floor, Pool view. Windy!
- Quiet and serene environment, view to appreciate!
- Facilities include swimming pool, children pool, Sun Deck, Gym and function room and 24 hrs security.
- Short drive to Vivo City, Mount Faber, Mapletree Industrial Park
- Convenient with Many eateries, shops and amenities nearby
- Near Haw Par Villa MRT, West Coast Highway and AYE.

For viewing, call Kris Aw ERA 98781591 for appointment!",D05,All races welcome,North South,04,Fully Furnished,,12 months,Le Hill Condominium,2 Baths,2 Beds,Not Allowed,S$3.83 psf,"S$3,500/mo",https://www.99.co/singapore/rent/property/le-hill-condominium-condo-YX8ZD2igKyqgMsDmRy3Ayb
"Roof Terrace,Loft,High Ceiling,Stove,Fridge,Dryer,Oven,Parking,Security,Balcony,Bomb Shelter,Fibre Ready,Closet,Aircon,Greenery View,Duplex / Maisonette,Swimming Pool,Wading Pool,Jacuzzi,Playground,Top Floor,Washer,Pool View,Gym,BBQ","1,281 sqft (built up)","***NEW LISTING***

SUPER RARE!!!
Unique Layout!!! Privacy in ever corner of house... High ceiling that's Grand looking!!!
Nice Pool & Greenery View!!!

1 Bedroom LOFT Duplex Unit - Strata House design concept, Direct Pool View! 

EXPAT CHOICE Condo Living! 

Good Size Balcony!

Bright and Windy unit!!!

Rarely Available 

LIFESTYLE LIVING!
Doorstep to MRT & The Star Vista Shopping Mall.

Beautiful Unblock greenery view, facing away from the MRT track - relatively quiet!

Doorstep to MRT & Star Vista Mall 
Stroll to Famous Holland Village!!!

Call 98222 322 Jennifer Tan for an EXCLUSIVE viewing 
Website : www.jentan.com
Kindly sms/whatsapp/call/email me for more info/viewing

The Rochester is a 99-years leasehold apartment development located at 33 Rochester Drive, Singapore 138638, in District 05, minutes walk to Buona Vista MRT Station. Completed in 2011, it comprises of 334 units. The Rochester is close to Holland Village and the National University Hospital. 

Condo Facilities at The Rochester 

Facilities at The Rochester include swimming pool, spa pool, fun pool, 24 hours security, pool deck, pavillion, BBQ pits, and playground. 

Condo Amenities near The Rochester 

Several feeder bus services are available near The Rochester. Schools are mostly a short drive away, including the prestigious Anglo-Chinese Junior College, Singapore Polytechnic, and the United World College of South East Asia. 

The Rochester’s close proximity to Holland Village means a suite of amenities are readily available, such as supermarkets, restaurants and eating establishments, shops and banks. Alternatively, residents may head to the nearer Ghim Moh Market for daily necessities 

For vehicle owners, driving from The Rochester to either the business hub or the vibrant Orchard Road shopping district takes about 10 minutes, via Ayer Rajah Expressway and Holland Road respectively.",D05,All races welcome,South,,Partially Furnished,,24 months,The Rochester,2 Baths,1 Bed,Allowed,S$3.28 psf,"S$4,200/mo",https://www.99.co/singapore/rent/property/the-rochester-condo-D77JK44uUCSWxR5GmaKyHE
"High Ceiling,Stove,Fridge,Low Floor,Oven,Parking,Security,Balcony,Ground Floor,Renovated,Aircon,TV,Sofa,Bed,Swimming Pool,Utility Room,Playground,Dining Room Furniture,Washer,Fibre Ready,BBQ","1,227 sqft (built up)","Big and Spacious Condo
3 good-size bedrooms 
Available  immediately

Minutes to Haw Par Villa MRT
Near amenities and eateries
Near Science Park 2",D05,All races welcome,North South,,Fully Furnished,Yes,24 months,Royal Palm Mansions,2 Baths,3 Beds,,S$3.18 psf,"S$3,900/mo",https://www.99.co/singapore/rent/property/royal-palm-mansions-condo-SAcmYzvCktbiFuqcfCRgCd
"Bomb Shelter,Roof Terrace,High Ceiling,Stove,Fridge,Dryer,Oven,Dishwasher,Patio / PES,Bomb Shelter,Bathtub,Closet,Aircon,Maid Room,Greenery View,Washer,Fibre Ready,Swimming Pool","9,200 sqft (built up)","*** LUXURIOUS BUNGALOW TO CALL HOME ***

Located in prime residential estate,this bungalow offers fantastic lifestyle for the whole family to enjoy :
* Modern design with quality finishes
* Spacious layout throughout the house
*7 bedrooms with ample wardrobe space
* Wide frontage to park 2 big cars,  Koi pond
*Swimming pool and patio decks to sun tan and unwind with family & friends.  Great outdoor entertainment area also available on large roof terrace
* Lift for convenience to all floors
* Unblocked greenery view 
* Close to MacRitchie Reservoir
* Short drive to eateries, malls, schools and downtown

KEY FEATURES 
*Ground Floor
Living and dining room, 1 en-suite bedroom, 1 common bathroom, 1 powder room with shower cubicle, dry kitchen, bomb shelter, helper's room with attached toilet, wet kitchen in backyard

*2nd Floor
En-suite master bedroom with greenery view and 3 en-suite bedrooms 

*Attic
1 en-suite bedroom, 1 bedroom, 1 common bathroom.  All bedrooms open to a large roof terrace

Another bungalow also available for rent at $19,000 pm :-
Land 6,016 sf,  Built-in 9,200 sf, 5 bedrooms + Music Room + Pool + Lift + Helper's room

Call Lay Guan @ 97359118 to view at your convenience.
Visit www.layguan.com to view other properties.
THANK YOU!

Disclaimer : Subject to availability and price change without prior notice.",D11,All races welcome,South East,,Partially Furnished,Yes,24 months,Lornie Road,8 Baths,7 Beds,Allowed,S$2.50 psf,"S$23,000/mo",https://www.99.co/singapore/rent/property/lornie-road-landed-7Y6CCcMjT7XpR7RSsFBvYX
"Bomb Shelter,Patio / PES,Closet,Aircon,Stove,City View,Fridge,Walk In Closet,Bathtub,Oven,High Floor,Washer,Fibre Ready,Balcony","3,186 sqft (built up)","LUXURIOUS LIFESTYLE AT ARDMORE RESIDENCE

ARDMORE RESIDENCE is a prestigious address in an exclusive enclave - your next dream home.

4 bedroom unit with functional layout and following features:
* private lift lobby
*spacious living and dining room with beautiful aerial views
* ensuite bedrooms in separate section from the living area.  Bathrooms are fitted with dehumidifier and mirror defogger
* Master bedroom has walk-in wardrobe and outdoor rain shower in ensuite spacious bathroom
* casual lounge area in spacious balcony area to relax
* kitchen (sliding glass panel door to dining area) fitted with high-end appliances
* can also provide fully-furnished unit upon request 

More offerings:
* easy walk / drive to popular shopping malls, amenities and entertainment outlets
* wide range of recreational facilities to suit all family members and friends
* fully-equipped clubhouse with sitting lounge, dining table and gourmet kitchen, complimentary beverages and concierge services by renowned Capella Singapore
* 24-hour property maintenance assistance hotline and complimentary handyman services
* underground carpark and airconditioned sitting lobby area

Wait no more.....be my guests to view at your convenience.  Call Lay Guan @ 97359118.
Visit www.layguan.com to view other properties.
Thank you.

Disclaimer : subject to availability and price change without prior notice",D10,All races welcome,,,Partially Furnished,Yes,24 months,Ardmore Residence,4 Baths,4 Beds,Allowed,S$5.65 psf,"S$18,000/mo",https://www.99.co/singapore/rent/property/ardmore-residence-condo-ydMwBoFREKfd3PDRXHi28W
"Jogging Track,Clubhouse,Water Feature,High Ceiling,Gym,Sauna,Jacuzzi,Dryer,Oven,Parking,Pond,Security,Fun Pool,Pool View,Basketball Court,Aircon,Pool Deck,Wading Pool,Lounge,Swimming Pool,Utility Room,Playground,Fitness Corner,Washer,Fibre Ready,Reflexology Path,BBQ","1,356 sqft (built up)","Beautiful apt. in a beautiful condo , p. furnished , rare unit . Viewings can be on w-days office hours only , but available immediately . So quickly arrange an appt. for the 2 yr. lease , and don’t lose out on this chance of a place to stay in this central area next to the mrt !",D10,All races welcome,,,Partially Furnished,,24 months,Holland Residences,3 Baths,3 Beds,,S$4.72 psf,"S$6,400/mo",https://www.99.co/singapore/rent/property/holland-residences-condo-BCRm5LR9HPw3yGGxcheGsh
